Unnamed: 0,cassandra_Q1,cassandra_Q2,cassandra_Q3,mongoDb_Q1,mongoDb_Q2,mongoDb_Q3,mysql_Q1,mysql_Q2,mysql_Q3,neo4j_Q1,neo4j_Q2,neo4j_Q3,redis_Q1,redis_Q2,redis_Q3
R1,16.021920266614426,46.282109368706095,207.40526011531102,3.694460306456643,5.095125256953491,5.1954250729904405,3.6720338354051396,3.462396627242254,4.740255758770476,49.683176799744956,38.817072180523546,20.182343274896542,92.81406335004468,114.57751721892222,197.55255235491342
R2,8.841295802755235,38.67518255205767,235.74312274717025,2.5663017172622613,3.5166114193507956,4.090067123365051,3.864675901011746,4.28761867552668,4.133443091155685,49.91918795429346,35.104289939878306,19.610348849931068,96.79832636761807,119.19995751168874,187.46105659378082
R3,8.68848022788328,36.912221044784324,205.52757591778004,2.435629427440709,3.6296437515913906,4.092005063425265,4.082838982994256,3.691316485883871,4.276312241844498,49.061598858351985,35.85092987018026,18.605477110235036,91.57608468434289,105.32128726373092,191.29173503832288
R4,8.6967484111075,37.80825797009286,212.39336803917507,2.4301075054115224,3.4700697194272396,3.962893316189367,3.940763499994331,3.555723054902852,4.470790711906227,49.636107999131,34.387789041331544,17.873457107713456,88.68639787525049,111.71173989933706,184.60028959380418
R5,8.603418774568135,41.51539637855649,212.85047027144532,2.4394459701426676,3.6060899983966412,4.2250211352898095,4.174797493729142,4.234586536608699,4.405500893702921,50.491401474247965,35.393084673260454,18.19637491864131,92.3256879563204,108.2424030771744,199.63074604000937
R6,8.951906942389572,43.060799256493326,210.07332201751046,2.381330838369937,3.629613903248972,3.8222271964830323,4.020537533251079,3.6662748008945742,4.246813189648744,48.26490987785482,36.3791430566376,18.71897369009759,88.03444861368303,113.57700214625434,186.02560391971585
R7,8.745862503675708,55.45255783613715,215.12105198052,2.3336267428564565,3.4587784306943012,3.7357009857408805,4.0420581660186246,3.4571957154357293,4.471609854550094,58.613626969171825,35.807464711596104,17.633603407866165,89.7446268021994,105.21603253182224,187.33650661954016
R8,8.297483983533882,46.93656812086745,210.5337237308893,2.455595283050618,3.5520343144604514,4.112126796792271,3.916179211777685,4.026104419389535,4.412427546833978,52.90414023212484,34.31076447568429,18.480849721066207,91.25792553758589,125.03299195168763,175.72228971093273
R9,8.673340123582172,39.791647936638164,225.38106522536802,2.219147839573963,2.7692793223250085,4.306654281093037,4.131134180955773,4.18973229080245,4.087576734513241,51.48016338765778,39.71210018689209,17.187725971214178,88.34957456794812,105.97579222008679,187.8763134188146
R10,8.722216997903171,38.58649053411692,213.05843304251488,2.263265122103367,3.5620831217475897,5.068623512546419,4.183350400234851,4.78544422972204,4.415350610478565,61.817222804452335,38.110200534354206,18.82154176516379,107.6493025355585,110.67021553746773,184.18023764408656
R11,8.637503064636215,41.585188120515724,164.68229225093035,2.546350394456676,3.3758091348945896,3.808824246870783,4.152616303551708,5.252200121793253,4.44464713106543,52.80678231312886,37.43544407552305,18.56935305812672,84.42830494814572,115.13897492114594,195.41150513474005
R12,7.927284008097524,42.87179327253308,173.77873743307907,2.335504826243276,3.5522979160218813,3.265795648139175,3.9390849082735815,5.346221168875983,4.469036034231146,47.30685197672153,36.648033622006594,18.27983482414939,89.07904438136127,109.75837126938995,179.76161024445278
R13,8.48278982192523,37.34247632230212,190.14788655196259,2.341025135199074,3.5995791459055066,3.845080926876576,4.084938687089765,5.937710745552335,4.11579952777506,44.594101851599326,39.14562848509053,18.50144479256651,99.98139149468344,101.49454392970223,175.28413437253508
