,cassandra_Q1,cassandra_Q2,cassandra_Q3,mongoDb_Q1,mongoDb_Q2,mongoDb_Q3,mysql_Q1,mysql_Q2,mysql_Q3,neo4j_Q1,neo4j_Q2,neo4j_Q3,redis_Q1,redis_Q2,redis_Q3
R16,6.356227874755859,24.37618923187256,130.8215947151184,1.8698556423187256,2.433215379714966,2.9769928455352783,3.013460159301758,3.856311082839966,2.957545042037964,31.4980890750885,23.495563983917236,12.71228814125061,60.9771409034729,78.04610896110535,103.35343790054321
R17,6.716856002807617,26.665157079696655,135.66345596313477,1.9300761222839355,2.462820053100586,2.9944570064544678,3.033060073852539,3.672727108001709,2.947413921356201,31.33600401878357,23.176383018493652,15.33509612083435,66.21740484237671,73.95215582847595,103.4050030708313
R18,6.715943813323975,24.492719888687134,131.93154788017273,1.8518469333648682,2.448523998260498,2.894183874130249,2.91318416595459,3.7057342529296875,2.8299148082733154,30.956985235214233,21.671496868133545,13.802337646484375,59.37748908996582,82.0104968547821,104.86669921875
R19,6.669034004211426,25.07547092437744,130.71662592887878,1.8801929950714111,2.4882619380950928,3.088641881942749,2.8981380462646484,3.4822771549224854,2.711970806121826,31.474523067474365,22.310176849365234,13.179409980773926,63.31713271141052,76.64967083930969,97.08712911605835
R20,6.281360864639282,24.509031057357788,131.64107298851013,1.9043090343475342,2.525573253631592,2.957170009613037,2.8870480060577393,3.5134551525115967,2.9555766582489014,31.70252013206482,22.644826650619507,13.053952932357788,61.47079586982727,77.24043393135071,93.1534538269043
R21,7.392248868942261,24.927350997924805,131.14917612075806,1.950711965560913,2.465949296951294,2.958095073699951,2.841049909591675,3.825032949447632,2.837480068206787,31.658008098602295,22.672080039978027,13.116751909255981,60.40925192832947,71.0910918712616,94.06286573410034
R22,7.554358005523682,25.9434711933136,130.85584783554077,1.900223970413208,2.4442217350006104,2.885801076889038,2.9635000228881836,3.5748751163482666,2.6667990684509277,32.0625216960907,21.680091857910156,12.191590785980225,67.98812508583069,72.86789107322693,92.52231812477112
R23,6.668784856796265,25.619567155838013,135.97143578529358,1.9086339473724365,2.477015972137451,2.9678289890289307,2.8262689113616943,3.481045961380005,2.7887611389160156,31.34565281867981,22.537281036376953,13.225473165512085,62.63746619224548,76.11870503425598,94.4848461151123
R24,7.370007038116455,25.476139068603516,136.8829779624939,1.9168498516082764,2.444524049758911,3.0647568702697754,2.784156084060669,3.0704779624938965,2.678712844848633,31.568737030029297,22.87052297592163,13.3781099319458,64.79890203475952,95.94078803062439,94.1366069316864
R25,8.214603900909424,25.277995824813843,135.43804693222046,1.866161823272705,2.435957193374634,3.0047669410705566,2.734534978866577,3.11598801612854,2.5216641426086426,31.53761625289917,21.878254175186157,14.209274291992188,59.40770888328552,89.25068283081055,92.72517013549805
R26,9.019740104675293,24.800214052200317,136.59618997573853,1.9560949802398682,2.4426441192626953,2.970366954803467,2.8266091346740723,3.0323588848114014,2.5580360889434814,32.4883599281311,21.95948314666748,15.431484937667847,58.40470099449158,64.5543360710144,93.24914002418518
R27,9.141026020050049,24.149994134902954,136.69229888916016,2.396915912628174,2.4520459175109863,3.469041109085083,2.8447887897491455,2.974369764328003,2.672571897506714,30.90385603904724,22.534080982208252,13.94556975364685,60.13119387626648,60.27875375747681,92.42957305908203
R28,8.191872596740723,26.830358028411865,148.02970385551453,1.947709321975708,2.432919979095459,3.4235680103302,2.8100342750549316,3.036184072494507,2.705089807510376,29.913792848587036,22.97220492362976,12.554960012435913,60.2435257434845,63.42221713066101,93.97578501701355
R29,7.439175128936768,24.705257892608643,131.5603621006012,1.8549659252166748,2.455336093902588,3.4056692123413086,2.7733540534973145,3.057711124420166,2.6789608001708984,29.832875967025757,21.970083236694336,12.944720029830933,74.13646483421326,61.536659955978394,96.84560894966125
R30,7.136495113372803,25.617021322250366,131.90371799468994,1.9519410133361816,2.4515221118927,3.469491958618164,2.7246599197387695,3.005645751953125,2.5460832118988037,30.780205011367798,22.725138902664185,11.934332847595215,86.69167375564575,61.7553288936615,93.70419788360596
R31,6.786787033081055,25.48292112350464,135.8293261528015,1.9223711490631104,2.4749979972839355,3.4075469970703125,2.6098790168762207,3.1075680255889893,2.6406960487365723,30.201826095581055,23.90484929084778,12.088382959365845,57.3627028465271,61.21791219711304,91.52773308753967
MIN,5.755614995956421,23.233583688735962,116.19515895843506,1.8269550800323486,2.390082836151123,2.885801076889038,2.6098790168762207,2.974369764328003,2.5216641426086426,29.832875967025757,21.671496868133545,11.92155385017395,57.3627028465271,60.27875375747681,91.52773308753967
MAX,10.373013973236084,32.93778896331787,150.750009059906,2.59860897064209,3.6351330280303955,3.6838040351867676,3.033060073852539,4.073497295379639,2.957545042037964,39.144614696502686,28.370929956436157,15.431484937667847,86.69167375564575,95.94078803062439,148.60357022285461
MEAN,6.885043505699404,25.472535625580818,134.5894814768145,1.9452185169343026,2.490477123568135,3.078807738519484,2.841941841187016,3.566547739890314,2.7330238050030125,32.3429083208884,23.560815911139212,12.935447992817048,62.9522854974193,74.23459999792037,112.41705830635563
