,cassandra_Q1,cassandra_Q2,cassandra_Q3,mongoDb_Q1,mongoDb_Q2,mongoDb_Q3,mysql_Q1,mysql_Q2,mysql_Q3,neo4j_Q1,neo4j_Q2,neo4j_Q3,redis_Q1,redis_Q2,redis_Q3
R1,10.373013973236084,28.348670959472656,135.0255000591278,2.59860897064209,3.6351330280303955,3.6838040351867676,2.691194772720337,3.6696109771728516,2.910072088241577,33.22091889381409,25.71740984916687,13.760243892669678,62.01093292236328,76.48048210144043,130.21008801460266
R2,6.2103729248046875,23.946197032928467,150.750009059906,1.9474942684173584,2.408392906188965,2.981600761413574,2.796466112136841,3.8062069416046143,2.668992042541504,32.517317056655884,23.091106176376343,13.272818803787231,62.84134912490845,77.2668969631195,126.1388111114502
R3,6.021859884262085,23.233583688735962,134.8608000278473,1.8703038692474365,2.4642319679260254,2.9643800258636475,2.858078956604004,3.705728054046631,2.7138988971710205,32.2959930896759,23.49577784538269,12.402200937271118,60.91999006271362,71.7298469543457,129.1018419265747
R4,6.136209964752197,23.584681034088135,137.9946792125702,1.912642002105713,2.415647029876709,2.9016330242156982,2.7924420833587646,3.578530788421631,2.632014036178589,32.83782505989075,22.75990581512451,11.981267213821411,60.54302477836609,75.5529842376709,125.05401802062988
R5,6.132599115371704,25.400110006332397,138.54992485046387,1.9318971633911133,2.4868061542510986,3.0322580337524414,2.8422691822052,3.847202777862549,2.6779699325561523,33.64274787902832,23.435476303100586,12.238017082214355,62.51274394989014,74.36935210227966,133.47703576087952
R6,6.247630834579468,26.47269105911255,138.05724596977234,1.9343538284301758,2.4803502559661865,2.922635078430176,2.865635871887207,3.6338698863983154,2.6169562339782715,32.55747413635254,24.191231966018677,12.45726203918457,60.190699100494385,76.09171199798584,126.99991488456726
R7,6.204897165298462,32.93778896331787,139.09190607070923,1.8440661430358887,2.3981971740722656,2.9335601329803467,2.80721116065979,3.6668288707733154,2.7284092903137207,38.1243417263031,24.20032787322998,11.92155385017395,60.75911498069763,72.4512300491333,127.02521896362305
R8,5.917541980743408,28.777047157287598,135.8417510986328,1.9480419158935547,2.4844970703125,2.966118097305298,2.8118958473205566,3.8982322216033936,2.708483934402466,34.92274618148804,23.243167877197266,12.477261066436768,61.525240898132324,81.74425077438354,127.42573308944702
R9,6.1363019943237305,25.13283085823059,143.75315499305725,1.880613088607788,2.39797306060791,3.0403618812561035,2.8432633876800537,3.8045949935913086,2.647645950317383,34.08293104171753,26.482914924621582,11.978064775466919,60.67556309700012,72.87036895751953,128.80730199813843
R10,6.113597869873047,24.08972692489624,139.82216620445251,1.854060173034668,2.4539451599121094,3.1713569164276123,2.8864519596099854,3.8664450645446777,2.752747058868408,39.144614696502686,25.33047080039978,12.808818101882935,69.77714371681213,75.3881208896637,126.8232581615448
R11,6.074215888977051,25.476301908493042,116.19515895843506,1.9519851207733154,2.390082836151123,2.922760009765625,2.9083878993988037,3.845708131790161,2.819301128387451,34.77710294723511,24.947033166885376,12.843594074249268,58.82011389732361,78.15646600723267,133.33332109451294
R12,5.755614995956421,26.399025917053223,120.75536489486694,1.8269550800323486,2.47011399269104,2.995366096496582,2.814784049987793,3.9240849018096924,2.8292980194091797,32.10168385505676,24.37543797492981,12.525652408599854,60.32701897621155,74.6755678653717,129.8342649936676
R13,6.032943964004517,23.664530992507935,127.39123392105103,1.8567090034484863,2.4403791427612305,2.9305050373077393,2.866528034210205,4.073497295379639,2.591878890991211,31.200464725494385,25.490978956222534,12.804814100265503,66.5831651687622,73.5893669128418,122.88450193405151
R14,6.163250923156738,23.97520399093628,131.2976381778717,1.9237267971038818,2.4784140586853027,3.0060079097747803,2.9140408039093018,3.7545249462127686,2.8448030948638916,31.329933166503906,28.370929956436157,12.262034893035889,58.272186040878296,81.45551776885986,137.68035912513733
R15,6.261775970458984,24.26135492324829,131.20401120185852,2.01145601272583,2.4650979042053223,3.052314043045044,2.9178214073181152,3.976151704788208,2.883991003036499,30.61249017715454,24.250605821609497,12.161549091339111,62.19088411331177,73.51720309257507,148.60357022285461
